,CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,New Georeferenced Column,geometry
88,742903755,26,MANHATTAN,2018-09-14,18:00:00,09/14/2018,18:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,344,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO MAN NORTH,101,ASSAULT 3,BEAUTY & NAIL SALON,03/31/2021,,UNKNOWN,UNKNOWN,U,,25-44,BLACK,F,997177,234774,40.81107497700003,-73.95330303099996,"(40.81107497700003, -73.95330303099996)",POINT (-73.95330303099996 40.81107497700003),
184,207054129,106,QUEENS,2018-01-01,00:00:00,01/01/2019,00:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,PATROL BORO QUEENS SOUTH,155,RAPE 2,RESIDENCE-HOUSE,03/23/2021,,UNKNOWN,UNKNOWN,M,,<18,ASIAN / PACIFIC ISLANDER,F,1028713,187853,40.68218640100008,-73.83969048299997,"(40.68218640100008, -73.83969048299997)",POINT (-73.83969048299997 40.68218640100008),
921,149067382,32,MANHATTAN,2018-07-14,20:00:00,07/18/2018,11:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO MAN NORTH,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,03/25/2021,,25-44,WHITE,M,,18-24,BLACK,F,999358,236472,40.81573205300003,-73.94542041099999,"(40.81573205300003, -73.94542041099999)",POINT (-73.94542041099999 40.81573205300003),
1048,933597286,123,STATEN ISLAND,2018-12-18,11:00:00,12/18/2018,11:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,578,VIOLATION,,HARRASSMENT 2,BLOOMINGDALE PARK,PATROL BORO STATEN ISLAND,638,"HARASSMENT,SUBD 3,4,5",PARK/PLAYGROUND,03/29/2021,,45-64,WHITE,M,,25-44,WHITE,M,914803,125922,40.51203825400006,-74.249754952,"(40.51203825400006, -74.249754952)",POINT (-74.249754952 40.51203825400006),
1070,413812452,44,BRONX,2018-07-06,00:00:00,12/31/2018,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BRONX,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,03/27/2021,,45-64,WHITE HISPANIC,M,,<18,WHITE HISPANIC,F,1006434,244344,40.83732351100008,-73.91983075699994,"(40.83732351100008, -73.91983075699994)",POINT (-73.91983075699994 40.83732351100008),
2233,356043746,47,BRONX,2018-08-15,10:00:00,08/15/2018,10:15:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,FRONT OF,PETIT LARCENY,,PATROL BORO BRONX,357,"LARCENY,PETIT OF VEHICLE ACCES",STREET,03/28/2021,,UNKNOWN,UNKNOWN,U,,25-44,WHITE HISPANIC,M,1030207,263329,40.88933979900003,-73.83378754799998,"(40.88933979900003, -73.83378754799998)",POINT (-73.83378754799998 40.88933979900003),
2948,861172020,41,BRONX,2018-01-01,00:01:00,09/30/2020,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,PATROL BORO BRONX,153,RAPE 3,RESIDENCE - APT. HOUSE,03/30/2021,,18-24,UNKNOWN,M,,<18,UNKNOWN,F,1013232,236725,40.816391847000034,-73.89529641399997,"(40.816391847000034, -73.89529641399997)",POINT (-73.89529641399997 40.816391847000034),
7948,708709861,7,MANHATTAN,2018-12-18,14:00:00,03/24/2021,15:00:00,ATTEMPTED,,575,2,N.Y. HOUSING POLICE,578,VIOLATION,INSIDE,HARRASSMENT 2,,PATROL BORO MAN SOUTH,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE - PUBLIC HOUSING,03/24/2021,,25-44,WHITE,F,,25-44,BLACK,F,987482,198516,40.71156493900003,-73.98834336899995,"(40.71156493900003, -73.98834336899995)",POINT (-73.98834336899995 40.71156493900003),
9021,810185057,34,MANHATTAN,2018-01-01,00:01:00,12/31/2018,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO MAN NORTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,03/26/2021,,,,,,25-44,WHITE HISPANIC,F,1003947,252034,40.858436187000045,-73.92879592599996,"(40.858436187000045, -73.92879592599996)",POINT (-73.92879592599996 40.858436187000045),
9166,309612620,114,QUEENS,2018-05-24,16:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,118,FELONY,INSIDE,DANGEROUS WEAPONS,,PATROL BORO QUEENS NORTH,792,WEAPONS POSSESSION 1 & 2,OTHER,03/26/2021,,,,,,UNKNOWN,UNKNOWN,E,1007694,219657,40.76956124200007,-73.91536344699995,"(40.76956124200007, -73.91536344699995)",POINT (-73.91536344699995 40.76956124200007),
